Cd(NO3)2	Cadmium Nitrate
Cd(N3)2	Cadmium Azide
CdO	Cadmium Oxide
Cd(OH)2	Cadmium Hydroxide
CdS	Cadmium Sulfide|Greenockite
CdSO3	Cadmium Sulfite
CdSO4	Cadmium Sulfate
CdSb	Cadmium Antimonide
CdSe	Cadmium Selenide|Cadmoselite
CdSeO3	Cadmium Selenite
CdSiO3	Cadmium Metasilicate
Cd(TaO3)2	Cadmium Metatantalate
CdTe	Cadmium Telluride
CdTeO4	Cadmium Tellurate
CdTiO3	Cadmium Titanate
CdWO4	Cadmium Tungstate
CdZrO3	Cadmium Metazirconate
Cd2Nb2O7	Cadmium Niobate
Cd3As2	Cadmium Arsenide
Cd3P2	Cadmium Phosphide
Cd3(PO4)2	Cadmium Phosphate
CeB6	Cerium Boride
CeBr3	Cerium(iii) Bromide
CeC	Cerium Carbide
CeCl3	Cerium(iii) Chloride
CeF3	Cerium(iii) Fluoride
CeF4	Cerium(iv) Fluoride
CeI2	Cerium(ii) Iodide
CeI3	Cerium(iii) Iodide
CeN	Cerium Nitride
CeO2	Cerium(iv) Oxide|Cerianite
CeS	Cerium(ii) Sulfide
Ce(SO4)2	Cerium(iv) Sulfate
CeSi2	Cerium Silicide
Ce2C3	Cerium(iii) Carbide
Ce2O3	Cerium(iii) Oxide
Ce2S3	Cerium(iii) Sulfide
